@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
21, 120, 130, 5453, wholegrain
21, 143, 146, 5840, wholegrain
21, 144, 158, 5904, wholegrain
20, 118, 169, 4440, wholegrain
22, 137, 134, 4620, wholegrain
22, 99, 159, 5092, wholegrain
18, 101, 154, 3822, wholegrain
24, 108, 154, 6160, wholegrain
24, 114, 134, 4522, wholegrain
21, 122, 150, 4522, wholegrain
23, 125, 163, 5612, wholegrain
20, 99, 142, 4726, wholegrain
21, 115, 146, 5248, wholegrain
20, 114, 139, 7590, wholegrain
22, 128, 149, 3996, wholegrain
22, 135, 157, 5863, wholegrain
21, 122, 165, 4756, wholegrain
78, 36, 70, 3384, wholegrain
19, 78, 156, 2508, wholegrain
17, 105, 153, 6069, wholegrain
20, 80, 166, 7220, wholegrain
17, 95, 123, 7448, wholegrain
19, 110, 144, 4572, wholegrain
21, 91, 163, 4356, wholegrain
20, 120, 98, 13072, wholegrain
20, 91, 138, 4521, wholegrain
21, 91, 138, 5850, wholegrain
20, 75, 152, 3597, wholegrain
19, 107, 153, 4968, wholegrain
19, 100, 166, 4680, wholegrain
21, 90, 128, 5588, wholegrain
18, 98, 149, 5040, wholegrain
17, 101, 137, 5280, wholegrain
19, 119, 148, 4114, wholegrain
19, 96, 162, 4080, wholegrain
19, 81, 179, 3696, wholegrain
21, 120, 164, 10212, wholegrain
22, 65, 170, 7912, wholegrain
21, 93, 162, 6519, wholegrain
21, 84, 148, 3630, wholegrain
18, 93, 145, 5324, wholegrain
20, 96, 160, 4788, wholegrain
19, 107, 140, 6396, wholegrain
19, 97, 142, 4572, wholegrain
20, 87, 146, 9315, wholegrain
17, 121, 133, 3128, wholegrain
21, 112, 134, 3885, wholegrain
19, 101, 144, 3672, wholegrain
20, 89, 163, 4114, wholegrain
20, 81, 145, 3710, wholegrain
18, 112, 144, 6192, wholegrain
17, 120, 138, 6346, wholegrain
18, 116, 138, 8232, wholegrain
20, 117, 131, 7473, wholegrain
20, 84, 151, 4940, wholegrain
20, 108, 151, 5109, wholegrain
19, 101, 154, 5838, wholegrain
20, 91, 149, 5400, wholegrain
19, 103, 149, 4760, wholegrain
20, 95, 115, 7138, wholegrain
12, 67, 38, 12506, wholegrain
18, 93, 154, 2626, wholegrain
19, 101, 109, 3876, wholegrain
18, 109, 161, 7761, wholegrain
18, 71, 159, 19720, wholegrain
19, 112, 146, 6118, wholegrain
25, 96, 61, 1221, wholegrain
21, 86, 143, 4235, wholegrain
19, 101, 149, 5328, wholegrain
18, 102, 158, 5187, wholegrain
18, 114, 137, 10494, wholegrain
19, 109, 133, 4884, wholegrain
18, 87, 156, 4270, wholegrain
20, 93, 170, 4130, wholegrain
17, 85, 96, 4329, wholegrain
18, 83, 176, 3960, wholegrain
20, 87, 147, 5617, wholegrain
17, 93, 151, 5460, wholegrain
17, 124, 101, 5640, wholegrain
18, 88, 165, 3811, wholegrain
19, 90, 150, 4662, wholegrain
29, 80, 156, 5724, wholegrain
20, 104, 162, 5510, wholegrain
21, 95, 161, 6624, wholegrain
21, 79, 152, 5762, wholegrain
17, 103, 138, 6348, wholegrain
20, 85, 175, 3395, wholegrain
154, 217, 20, 16032, wholegrain
20, 98, 136, 6012, wholegrain
21, 76, 162, 8342, wholegrain
19, 83, 160, 4416, wholegrain
20, 102, 143, 6320, wholegrain
18, 120, 147, 7920, wholegrain
18, 81, 160, 3498, wholegrain
19, 89, 175, 3094, wholegrain
18, 114, 164, 5472, wholegrain
20, 95, 148, 6006, wholegrain
19, 102, 147, 4725, wholegrain
19, 105, 148, 13843, wholegrain
20, 102, 160, 3996, wholegrain
21, 84, 169, 4329, wholegrain
20, 91, 154, 4410, wholegrain
17, 109, 150, 3630, wholegrain
19, 91, 151, 4935, wholegrain
19, 93, 165, 4658, wholegrain
20, 71, 133, 4160, wholegrain
18, 125, 124, 5781, wholegrain
21, 92, 164, 5289, wholegrain
18, 101, 154, 6594, wholegrain
20, 96, 154, 5762, wholegrain
19, 99, 136, 4292, wholegrain
19, 96, 157, 7200, wholegrain
20, 106, 139, 6669, wholegrain
20, 120, 134, 5206, wholegrain
19, 78, 141, 5358, wholegrain
20, 89, 166, 4107, wholegrain
20, 90, 165, 5016, wholegrain
19, 90, 156, 3990, wholegrain
19, 107, 174, 7644, wholegrain
17, 97, 169, 4386, wholegrain
21, 75, 152, 3744, wholegrain
20, 86, 167, 3465, wholegrain
82, 132, 29, 18178, wholegrain
18, 95, 163, 4824, wholegrain
19, 92, 150, 3094, wholegrain
21, 94, 154, 3861, wholegrain
23, 83, 154, 7950, wholegrain
20, 112, 144, 4644, wholegrain
21, 101, 124, 5700, wholegrain
19, 104, 147, 8479, wholegrain
19, 98, 156, 4480, wholegrain
113, 109, 21, 14382, wholegrain
18, 91, 140, 3616, wholegrain
19, 116, 134, 3795, wholegrain
22, 124, 111, 5720, wholegrain
19, 97, 150, 4288, wholegrain
17, 98, 153, 3531, wholegrain
16, 81, 166, 4320, wholegrain
21, 81, 155, 2592, wholegrain
20, 99, 150, 5106, wholegrain
19, 113, 117, 4788, wholegrain
17, 103, 164, 3861, wholegrain
19, 88, 139, 3850, wholegrain
20, 100, 146, 3600, wholegrain
18, 88, 154, 5168, wholegrain
21, 85, 168, 5915, wholegrain
19, 105, 139, 3990, wholegrain
20, 99, 162, 4862, wholegrain
19, 91, 146, 4407, wholegrain
22, 94, 162, 6880, wholegrain
19, 91, 151, 10478, wholegrain
18, 90, 158, 5890, wholegrain
20, 87, 147, 4104, wholegrain
20, 112, 143, 4644, wholegrain
17, 96, 146, 11130, wholegrain
24, 69, 140, 3399, wholegrain
20, 89, 143, 4551, wholegrain
20, 127, 52, 11904, wholegrain
19, 89, 174, 3045, wholegrain
19, 78, 179, 3131, wholegrain
23, 86, 148, 6400, wholegrain
19, 104, 159, 3944, wholegrain
21, 100, 148, 4165, wholegrain
20, 88, 153, 5402, wholegrain
20, 97, 165, 3774, wholegrain
32, 80, 163, 3509, wholegrain
18, 95, 123, 4158, wholegrain
22, 86, 167, 5104, wholegrain
18, 89, 152, 4026, wholegrain
17, 107, 150, 5658, wholegrain
17, 114, 146, 3842, wholegrain
20, 75, 150, 3456, wholegrain
21, 99, 154, 6335, wholegrain
19, 98, 148, 6513, wholegrain
20, 82, 156, 4902, wholegrain
21, 93, 157, 5110, wholegrain
25, 61, 150, 4725, wholegrain
18, 71, 172, 11050, wholegrain
20, 109, 131, 7095, wholegrain
23, 103, 163, 8284, wholegrain
19, 105, 170, 5670, wholegrain
18, 105, 170, 9727, wholegrain
21, 76, 168, 18300, wholegrain
20, 111, 147, 8550, wholegrain
18, 109, 162, 9625, wholegrain
19, 94, 149, 5940, wholegrain
21, 53, 159, 3441, wholegrain
22, 95, 159, 6045, wholegrain
17, 104, 176, 9401, wholegrain
19, 96, 185, 7093, wholegrain
17, 85, 153, 2635, wholegrain
16, 80, 153, 7040, wholegrain
20, 94, 144, 6336, wholegrain
21, 100, 171, 6384, wholegrain
23, 92, 111, 3977, wholegrain
19, 84, 158, 3605, wholegrain
17, 83, 153, 4921, wholegrain
19, 96, 146, 5805, wholegrain
17, 105, 122, 3420, wholegrain
19, 102, 163, 4212, wholegrain
19, 125, 139, 6764, wholegrain
22, 79, 165, 11224, wholegrain
20, 102, 150, 3842, wholegrain
19, 91, 146, 6125, wholegrain
20, 105, 141, 6240, wholegrain
19, 108, 167, 7280, wholegrain
20, 88, 168, 4352, wholegrain
21, 86, 170, 12180, wholegrain
19, 96, 151, 6888, wholegrain
18, 94, 120, 4420, wholegrain
23, 105, 122, 5856, wholegrain
17, 94, 154, 5217, wholegrain
21, 87, 182, 7314, wholegrain
22, 69, 133, 6486, wholegrain
20, 73, 200, 10374, wholegrain
19, 109, 166, 9612, wholegrain
